Handle ,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
Kareli-Dokuma-Takım-Elbise,,,,,,,,Size,54,,,,,,,,,,,,,,,,https://www.trendyol.com/ty154/product/media/images/20210806/15/116330180/222978508/1/1_org_zoom.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,
Kareli-Dokuma-Takım-Elbise,,,,,,,,Size,56,,,,,,,,,,,,,,,,https://www.trendyol.com/ty154/product/media/images/20210806/15/116330180/222978508/1/1_org_zoom.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,
Kareli-Dokuma-Takım-Elbise,,,,,,,,Size,58,,,,,,,,,,,,,,,,https://www.trendyol.com/ty154/product/media/images/20210806/15/116330180/222978508/1/1_org_zoom.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,
Kareli-Dokuma-Takım-Elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com/ty153/product/media/images/20210806/15/116330180/222978508/2/2_org_zoom.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,
Kareli-Dokuma-Takım-Elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com/ty155/product/media/images/20210806/15/116330180/222978508/3/3_org_zoom.jpg,9,,,,,,,,,,,,,,,,,,,,,,,,
Kareli-Dokuma-Takım-Elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com/ty155/product/media/images/20210806/15/116330180/222978508/4/4_org_zoom.jpg,10,,,,,,,,,,,,,,,,,,,,,,,,
Kareli-Dokuma-Takım-Elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com/ty154/product/media/images/20210806/15/116330180/222978508/5/5_org_zoom.jpg,11,,,,,,,,,,,,,,,,,,,,,,,,
Desenli-Dokuma-Takım-Elbise,Desenli Dokuma Takım Elbise,Jacket: Trousers: Takım Elbise Desen: Desenli Model: Normal Line: Klasik Cep: Kapaklı Cep Kalıp: Modern Fit Yırtmaç Tipi: Çift Yırtmaç İç Astar: Tam Astarlı Yaka: Kelebek Yaka Karışım: %79 Polyester  %18 Viskoz  %3 Likra,REXGOLL,,Takım Elbise,Takım Elbise,TRUE,Size,46,,,,,,200,shopify,5290,deny,manual,89.78,89.78,TRUE,TRUE,https://www.trendyol.com/ty223/product/media/images/20211104/10/165490164/287933246/1/1_org_zoom.jpg,1,,FALSE,,,,,,,,,used,FALSE,,,,,,,g,,,,,active
Desenli-Dokuma-Takım-Elbise,,,,,,,,Size,46,,,,,,,,,,,,,,,,https://www.trendyol.com/ty223/product/media/images/20211104/10/165490164/287933246/1/1_org_zoom.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,
Desenli-Dokuma-Takım-Elbise,,,,,,,,Size,48,,,,,,,,,,,,,,,,https://www.trendyol.com/ty223/product/media/images/20211104/10/165490164/287933246/1/1_org_zoom.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,
